claim_id,referrer_id,claim_channel,friend_email,friend_phone,creation_date,expiry_date,claim_status,friend_patient_id
1ec4eacd-0019-4455-b7b8-36dfdd6505fd,2c4d14e8-0a56-43f0-a522-461136381b08,whatsapp_link,,+447700900555,2026-07-23T17:20:52.579733+00:00,2027-01-19T17:20:52.579733+00:00,transaction_success,6df17ab9-a9b9-4266-93b5-2eaf290cc282
3cf9a9c7-4eeb-421b-a309-1a6d90d76683,cd0925c0-e8d9-41d8-a7cf-71bf94551ac2,whatsapp_link,zoe.quinn@gmail.com,,2026-07-22T17:20:52.579733+00:00,2027-01-18T17:20:52.579733+00:00,transaction_success,e5e0afdd-cf27-4b72-ac73-a29fc1573042
3df0a425-e9e0-464d-b14a-299f2fc9e00d,f5377cb0-df2b-475a-a414-5f2e6a771501,email_link,fiona.c.new@gmail.com,,2026-07-20T17:20:52.579733+00:00,2027-01-16T17:20:52.579733+00:00,account_created,
4c904f72-3f3c-44bd-a1f6-54529db00387,73814d21-5cea-4aef-8072-7e283abdd7b8,whatsapp_link,leo.park@gmail.com,,2026-07-01T17:20:52.579733+00:00,2026-12-28T17:20:52.579733+00:00,transaction_success,e88ca8b3-0810-4f2b-9939-6d8abad825d2
56f5ad4d-062a-4d62-8047-ac20fb6c85ca,a3035c9b-dc5c-422d-b65e-58e77acefb9a,qr_code,arthur.kane@gmail.com,,2026-07-17T17:20:52.579733+00:00,2027-01-13T17:20:52.579733+00:00,transaction_success,855c5b72-7f01-4d8f-8d91-cd2e24a299af
603b4114-3edc-4e07-bcb1-5a33c2f473ac,d197999f-a021-4cdf-83e3-c73d17f39c68,whatsapp_link,pete.hale@gmail.com,,2026-07-27T17:20:52.579733+00:00,2027-01-23T17:20:52.579733+00:00,discount_code_clicked,
638dd1bf-ca20-4311-bb53-6b35d8075066,91acab7b-12f6-4076-9d7f-721936e16aa9,email_link,yara.solis@gmail.com,,2026-07-18T17:20:52.579733+00:00,2027-01-14T17:20:52.579733+00:00,transaction_success,d7b63986-0080-4e3b-adfa-10bc9182907d
6b0b3721-d258-401e-bd3c-5550233221e1,46291c27-ccb8-43ea-a25e-a3c23a7db933,sms_link,zoe.quinn@gmail.com,,2026-07-24T17:20:52.579733+00:00,2027-01-20T17:20:52.579733+00:00,discount_code_clicked,e5e0afdd-cf27-4b72-ac73-a29fc1573042
70f73779-7630-425c-a0c1-e207aad40870,d197999f-a021-4cdf-83e3-c73d17f39c68,sms_link,ivo.marsh@gmail.com,,2026-07-25T17:20:52.579733+00:00,2027-01-21T17:20:52.579733+00:00,account_created,
73ab6008-b9a4-44c6-bab5-b388e9e3f38a,3b108f69-68e6-43b7-acaf-61762c0bd45d,whatsapp_link,jack.mora@gmail.com,,2026-07-16T17:20:52.579733+00:00,2027-01-12T17:20:52.579733+00:00,transaction_success,7e971f22-16f2-46ef-a596-8c8012c31e54
847e904c-355c-4188-b5e7-712de3d5ef17,e1116be5-322b-44e8-a2af-b21fc41acfad,sms_link,tessa.nash@gmail.com,,2026-07-15T17:20:52.579733+00:00,2027-01-11T17:20:52.579733+00:00,transaction_success,d209a08d-a211-469e-9ce9-9a79a5bf6f67
9278afb9-8331-4fe1-9b62-65a1b8d8ed02,f5377cb0-df2b-475a-a414-5f2e6a771501,whatsapp_link,arthur.bell.jr@gmail.com,,2026-07-11T17:20:52.579733+00:00,2027-01-07T17:20:52.579733+00:00,transaction_success,7d34c8bc-9a65-4133-9d01-f31d95677735
a4488223-6308-4015-94f9-49e50c51a4a1,97103342-c46a-4772-a326-1391153eb8b1,email_link,margaret.osei91@gmail.com,,2026-07-12T17:20:52.579733+00:00,2027-01-08T17:20:52.579733+00:00,transaction_success,33c782a4-d1ed-4782-b5b7-141bef2daf27
a4920614-9eac-416e-b39d-55c5b9b1c764,d197999f-a021-4cdf-83e3-c73d17f39c68,email_link,rosa.vane@gmail.com,,2025-12-31T17:20:52.579733+00:00,2026-06-30T17:20:52.579733+00:00,account_created,
a5763c67-2a64-40c7-9c77-583345753999,d197999f-a021-4cdf-83e3-c73d17f39c68,qr_code,peggy.osei@gmail.com,,2026-07-26T17:20:52.579733+00:00,2027-01-22T17:20:52.579733+00:00,account_created,
abd523c6-0935-408d-a8b4-1da1c2cd2cc8,855e19a2-33d4-4fad-8add-1f4f2731c970,qr_code,dnash.bristol@gmail.com,,2026-07-13T17:20:52.579733+00:00,2027-01-09T17:20:52.579733+00:00,transaction_success,e507801f-0f57-4be7-957e-f450eac3a786
b0049305-6016-441b-a464-a25a5edf7c20,ac7306ce-e1c3-4cf0-a518-3564c337ad35,whatsapp_link,g.adu@outlook.com,,2026-07-14T17:20:52.579733+00:00,2027-01-10T17:20:52.579733+00:00,transaction_success,5bdc0232-8584-48aa-9f54-eef54a0cbcdd
de3eb6d2-ab0a-41b2-85e4-fa35dd409267,73814d21-5cea-4aef-8072-7e283abdd7b8,whatsapp_link,nina.okafor@gmail.com,,2026-07-21T17:20:52.579733+00:00,2027-01-17T17:20:52.579733+00:00,transaction_success,108446c6-57f9-4051-b9fd-51411ef8e41a
ed8c179c-0102-41a4-adf7-d2a5b81e1811,46291c27-ccb8-43ea-a25e-a3c23a7db933,whatsapp_link,m.osei@outlook.com,,2026-07-19T17:20:52.579733+00:00,2027-01-15T17:20:52.579733+00:00,discount_code_clicked,d66f3bf4-d699-4ab5-9fc1-f62b46283780
fa739966-9b2d-4498-ad86-4509473d4fa3,73814d21-5cea-4aef-8072-7e283abdd7b8,qr_code,asha.verma@gmail.com,,2026-07-28T17:20:52.579733+00:00,2027-01-24T17:20:52.579733+00:00,discount_code_clicked,
